"成果発生日時","ユーザID","案件ID","案件名","報酬",
"2015-06-08 09:11:14","63","5032","鍵と魔法とルーレット","52",
"2015-06-11 16:01:47","63","4925","テスト広告23","28",
"2015-06-11 16:01:54","63","4926","テスト広告24","28",
"2015-06-11 18:32:11","63","5073","AWA","68",
"2015-06-11 19:12:45","63","5018","YYC","48",
"2015-06-12 09:45:47","63","4939","やきゅコレ - 野球育成シミュレーションRPG","25",
"2015-06-12 15:37:37","63","5045","戦国やらいでか-乱舞伝-","47",
"2015-06-12 15:41:05","63","5097","フリフオールスターズ","48",
"2015-06-12 16:23:34","63","5002","レジェンドオブアトラン: 第2章～天界の門～","54",
"2015-06-13 10:16:33","63","5099","Sweet Talk-友達探しの出会いチャット掲示板","44",
"2015-06-13 19:56:27","65","5045","戦国やらいでか-乱舞伝-","47",
"2015-06-13 20:16:53","65","5002","レジェンドオブアトラン: 第2章～天界の門～","54",
"2015-06-13 20:25:23","65","5097","フリフオールスターズ","48",
"2015-06-13 20:27:07","65","5099","Sweet Talk-友達探しの出会いチャット掲示板","44",
"2015-06-13 21:12:34","65","5083","待ち合わせカフェ～無料チャット送信～出会い定番スポットSNS","44",
"2015-06-14 14:53:59","65","5098","Game of War","400",
"2015-06-14 15:02:15","65","5019","生活向上アプリ","127",
"2015-06-14 16:36:47","65","4925","テスト広告23","28",
"2015-06-14 16:37:35","65","2359","DORAKEN","52",
"2015-06-14 19:20:49","65","4939","やきゅコレ - 野球育成シミュレーションRPG","25",
"2015-06-14 23:48:41","63","5039","ボーダーブレイク","152",
"2015-06-15 01:25:39","63","5103","未来家系図つぐme","35",
"2015-06-15 01:28:51","63","5082","鏡の中のプリンセス Love palace","30",
"2015-06-15 01:31:24","63","5104","つける-たびに英単語 (小・中・高・TOEIC・TOEFL)","10",
"2015-06-15 10:16:58","67","5082","鏡の中のプリンセス Love palace","30",
"2015-06-15 10:38:50","65","5103","未来家系図つぐme","35",
"2015-06-15 10:40:55","65","5082","鏡の中のプリンセス Love palace","30",
"2015-06-15 10:43:41","65","5104","つける-たびに英単語 (小・中・高・TOEIC・TOEFL)","10",
"2015-06-15 14:50:54","63","5107","ウイルスバスター meets ハローキティ","32",
"2015-06-16 17:14:42","67","5107","ウイルスバスター meets ハローキティ","32",
"2015-06-17 10:05:44","63","5113","三國クロスサーガ～蒼天の絆～","30",
"2015-06-17 16:19:47","65","5113","三國クロスサーガ～蒼天の絆～","30",
"2015-06-17 17:26:01","65","5119","Soul Clash","35",
"2015-06-18 12:57:36","65","5128","一本道RPG外伝 伝説の宿屋の伝説","10",
"2015-06-18 19:54:05","65","5138","ケリ姫スイーツ","46",
"2015-06-19 12:41:45","65","5139","出会いのスター*ビーチ-基本無料のON LINEトークアプリ","44",
"2015-06-19 12:44:15","65","4610","城とドラゴン","61",
"2015-06-19 12:47:46","65","5141","AWA Music","50",
"2015-06-19 16:44:34","63","5129","城とドラゴン","51",
"2015-06-19 17:33:26","65","5133","【登録不要】無料でおこづかいが稼げる!!ポイントアプリ～「おい！お前」～","42",
"2015-06-19 18:09:32","63","3714","ごちぽん","59",
"2015-06-20 00:29:59","63","3333","Amazon アプリ ","52",
