"案件ID","案件名","発生件数","発生報酬","確定件数","確定報酬","確定率",
"2359","DORAKEN","1","52","1","52","100.0",
"3333","Amazon アプリ ","1","52","1","52","100.0",
"3338","Amazon アプリ ","2","104","2","104","100.0",
"3550","Amazon アプリ ","3","156","3","156","100.0",
"3561","Amazon アプリ ","5","260","5","260","100.0",
"3714","ごちぽん","1","59","1","59","100.0",
"4201","Mystery Mansion","1","34","1","34","100.0",
"4610","城とドラゴン","1","61","1","61","100.0",
"4629","城とドラゴン","2","104","2","104","100.0",
"4925","テスト広告23","2","56","2","56","100.0",
"4926","テスト広告24","1","28","1","28","100.0",
"4939","やきゅコレ - 野球育成シミュレーションRPG","2","50","2","50","100.0",
"5002","レジェンドオブアトラン: 第2章～天界の門～","2","108","2","108","100.0",
"5018","YYC","7","336","7","336","100.0",
"5019","生活向上アプリ","3","381","3","381","100.0",
"5020","ドラゴンズシャドウ ザ・ビギニング","2","170","2","170","100.0",
"5032","鍵と魔法とルーレット","1","52","1","52","100.0",
"5039","ボーダーブレイク","1","152","1","152","100.0",
"5045","戦国やらいでか-乱舞伝-","2","94","2","94","100.0",
"5073","AWA","7","476","7","476","100.0",
"5082","鏡の中のプリンセス Love palace","3","90","3","90","100.0",
"5083","待ち合わせカフェ～無料チャット送信～出会い定番スポットSNS","1","44","1","44","100.0",
"5097","フリフオールスターズ","2","96","2","96","100.0",
"5098","Game of War","1","400","1","400","100.0",
"5099","Sweet Talk-友達探しの出会いチャット掲示板","2","88","2","88","100.0",
"5103","未来家系図つぐme","2","70","2","70","100.0",
"5104","つける-たびに英単語 (小・中・高・TOEIC・TOEFL)","2","20","2","20","100.0",
"5107","ウイルスバスター meets ハローキティ","2","64","2","64","100.0",
"5112","Game of War","1","379","1","379","100.0",
"5113","三國クロスサーガ～蒼天の絆～","2","60","2","60","100.0",
"5115","妖怪百姫たん！","3","339","3","339","100.0",
"5119","Soul Clash","1","35","1","35","100.0",
"5128","一本道RPG外伝 伝説の宿屋の伝説","1","10","1","10","100.0",
"5129","城とドラゴン","1","51","1","51","100.0",
"5133","【登録不要】無料でおこづかいが稼げる!!ポイントアプリ～「おい！お前」～","3","126","3","126","100.0",
"5138","ケリ姫スイーツ","1","46","1","46","100.0",
"5139","出会いのスター*ビーチ-基本無料のON LINEトークアプリ","1","44","1","44","100.0",
"5140","ポイント貯めてお小遣い！ポイントタウンbyGMO","3","390","3","390","100.0",
"5141","AWA Music","7","350","7","350","100.0",
"5143","ケリ姫スイーツ","1","30","1","30","100.0",
"5165","縁結～ENMUSUBI～","2","88","2","88","100.0",
"5168","三國クロスサーガ～蒼天の絆～","3","150","3","150","100.0",
"5170","水道管パズル100","2","20","2","20","100.0",
"5172","三國クロスサーガ～蒼天の絆～","1","46","1","46","100.0",
"5173","Soul Clash","4","120","4","120","100.0",
"5175","ちちねこぐらし -タップと放置の無料育成ゲーム-","4","40","4","40","100.0",
"5176","MOBIUS FINAL FANTASY","2","132","2","132","100.0",
"5177","ぜにとげば","3","126","3","126","100.0",
"5178","ぷるぷるスライム牧場","2","60","2","60","100.0",
"5204","MOBIUS FINAL FANTASY","2","94","2","94","100.0",
"5211","ゲリラアラーム&ゲリラ時間割","2","20","2","20","100.0",
"5214","ヴィーナス†ブレイド[RPG/カードゲーム/武器娘/美少女]","2","128","2","128","100.0",
"5215","バディモンスター","5","380","5","380","100.0",
"5216","オービットサーガ","1","30","1","30","100.0",
"5230","天使のコスメティシャン【美少女天使育成】","1","10","1","10","100.0",
"5231","ゆるドラシル-本格派RPG-◆かわいいキャラで王道RPG！◆","1","64","1","64","100.0",
"5242","オービットサーガ","2","68","2","68","100.0",
"5243","MOBIUS FINAL FANTASY","1","51","1","51","100.0",
"5244","ローグライクRPG ブレイブリーゲート","4","212","4","212","100.0",
"5249","DaumKakao","4","200","4","200","100.0",
"5250","150","3","90","3","90","100.0",
"5262","プリンセスコネクト！","1","53","1","53","100.0",
