"àƒåèID","àƒåèñº","î≠ê∂åèêî","î≠ê∂ïÒèV","ämíËåèêî","ämíËïÒèV","ämíËó¶",
"2359","","1","52","1","52","100.0",
"2850","","2","104","2","104","100.0",
"3311","","1","52","1","52","100.0",
"5004","","1","491","1","491","100.0",
"5112","Game of War","1","379","1","379","100.0",
"5140","","1","130","1","130","100.0",
"5365","","1","102","1","102","100.0",
"5626","","1","85","1","85","100.0",
"5785","Solitaire","3","60","3","60","100.0",
"5851","","1","330","1","330","100.0",
"5889","","1","330","1","330","100.0",
"5895","","5","100","5","100","100.0",
"5897","","1","10","1","10","100.0",
"5901","","1","132","1","132","100.0",
"5904","","2","96","2","96","100.0",
"5912","","2","92","2","92","100.0",
"5918","","3","117","3","117","100.0",
"5919","","1","12","1","12","100.0",
"5921","","1","46","1","46","100.0",
"5925","","2","516","2","516","100.0",
"5926","","2","80","2","80","100.0",
"5933","","1","20","1","20","100.0",
"5934","","4","192","4","192","100.0",
"5948","","2","92","2","92","100.0",
"5950","","3","135","3","135","100.0",
"5952","","4","24","4","24","100.0",
"5959","","4","200","4","200","100.0",
"5979","","1","68","1","68","100.0",
"SV20151101111326","","1","1","1","1","100.0",
"SV20151101111721","","1","1","1","1","100.0",
"SV20151101193846","","1","1","1","1","100.0",
"SV20151101194146","","1","1","1","1","100.0",
"SV20151101194507","","1","1","1","1","100.0",
"SV20151101202837","","1","1","1","1","100.0",
"SV20151101203053","","1","1","1","1","100.0",
"SV20151101203304","","1","1","1","1","100.0",
"SV20151101220059","","1","1","1","1","100.0",
"SV20151101220414","","1","1","1","1","100.0",
"SV20151101220828","","1","1","1","1","100.0",
"SV20151101221143","","1","1","1","1","100.0",
"SV20151101221456","","1","1","1","1","100.0",
"SV20151101221820","","1","1","1","1","100.0",
"SV20151102023106","","1","1","1","1","100.0",
"SV20151102161121","","1","1","1","1","100.0",
"SV20151102183146","","1","1","1","1","100.0",
"SV20151102183644","","1","1","1","1","100.0",
"SV20151102184752","","1","1","1","1","100.0",
"SV20151102204244","","1","1","1","1","100.0",
"SV20151102204726","","1","1","1","1","100.0",
"SV20151102205131","","1","1","1","1","100.0",
"SV20151102205535","","1","1","1","1","100.0",
"SV20151102205906","","1","1","1","1","100.0",
"SV20151102231529","","1","1","1","1","100.0",
"SV20151103111755","","1","1","1","1","100.0",
"SV20151103162142","","1","1","1","1","100.0",
"SV20151103162417","","1","1","1","1","100.0",
"SV20151103162610","","1","1","1","1","100.0",
"SV20151103162806","","1","1","1","1","100.0",
"SV20151103162944","","1","1","1","1","100.0",
"SV20151103163133","","1","1","1","1","100.0",
"SV20151103163329","","1","1","1","1","100.0",
"SV20151103170246","","1","1","1","1","100.0",
"SV20151103200438","","1","1","1","1","100.0",
"SV20151103200936","","1","1","1","1","100.0",
"SV20151103220706","","1","1","1","1","100.0",
"SV20151103220922","","1","1","1","1","100.0",
"SV20151103221145","","1","1","1","1","100.0",
"SV20151103221418","","1","1","1","1","100.0",
"SV20151103221649","","1","1","1","1","100.0",
"SV20151104020353","","1","1","1","1","100.0",
"SV20151104075553","","1","1","1","1","100.0",
"SV20151104075856","","1","1","1","1","100.0",
"SV20151104102725","","1","1","1","1","100.0",
"SV20151104121742","","1","1","1","1","100.0",
"SV20151104155254","","1","1","1","1","100.0",
"SV20151104155558","","1","1","1","1","100.0",
"SV20151104160053","","1","1","1","1","100.0",
"SV20151104232000","","1","1","1","1","100.0",
"SV20151105063215","","1","1","1","1","100.0",
"SV20151105070542","","1","1","1","1","100.0",
"SV20151105070957","","1","1","1","1","100.0",
"SV20151105123535","","1","1","1","1","100.0",
"SV20151105123859","","1","1","1","1","100.0",
"SV20151105160245","","1","1","1","1","100.0",
"SV20151105160500","","1","1","1","1","100.0",
"SV20151105211543","","1","1","1","1","100.0",
"SV20151105211902","","1","1","1","1","100.0",
"SV20151105212227","","1","1","1","1","100.0",
"SV20151105230844","","1","1","1","1","100.0",
"SV20151106003441","","1","1","1","1","100.0",
"SV20151106003654","","1","1","1","1","100.0",
"SV20151106003915","","1","1","1","1","100.0",
"SV20151106004150","","1","1","1","1","100.0",
"SV20151107033655","","1","1","1","1","100.0",
"SV20151107034149","","1","1","1","1","100.0",
"SV20151107142337","","1","1","1","1","100.0",
"SV20151107142634","","1","1","1","1","100.0",
"SV20151107142925","","1","1","1","1","100.0",
"SV20151107143214","","1","1","1","1","100.0",
"SV20151107144239","","1","1","1","1","100.0",
"SV20151107144635","","1","1","1","1","100.0",
"SV20151107164703","","1","1","1","1","100.0",
"SV20151107210931","","1","1","1","1","100.0",
"SV20151108025557","","1","1","1","1","100.0",
"SV20151108074919","","1","1","1","1","100.0",
"SV20151108090218","","1","1","1","1","100.0",
"SV20151108091130","","1","1","1","1","100.0",
"SV20151108091626","","1","1","1","1","100.0",
"SV20151108092255","","1","1","1","1","100.0",
"SV20151108092506","","1","1","1","1","100.0",
"SV20151108113644","","1","1","1","1","100.0",
"SV20151108211334","","1","1","1","1","100.0",
"SV20151108235710","","1","1","1","1","100.0",
"SV20151109132144","","1","1","1","1","100.0",
"SV20151109132432","","1","1","1","1","100.0",
